[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerJoinedMatch" , "NELS" , ""
[00:00:13] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-101.78, -3.50, -56.06)" , ""
[00:00:13] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-103.94, -3.50, -55.89)" , ""
[00:00:14] , "Team 1" , "2" , "Lúcio" , "EV_UsedAbility_2" , "Lúcio" , ""
[00:00:14] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Reaper" , ""
[00:00:15] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-99.14, -2.49, -48.08)" , ""
[00:00:15] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:15] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:15] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:15] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:15] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:15] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:15] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-102.22, -3.50, -49.37)" , ""
[00:00:15] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-101.79, -3.50, -50.52)" , ""
[00:00:15] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-103.10, -3.50, -50.59)" , ""
[00:00:15] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-102.40, -3.50, -51.09)" , ""
[00:00:15] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-103.16, -3.50, -51.13)" , ""
[00:00:16] , "Team 1" , "0" , "NELS" , "EV_UsedAbility_1" , "Reaper" , ""
[00:00:16] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 2" , "4" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 1" , "2" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:17] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-95.71, 1.09, -30.54)" , ""
[00:00:17] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:17] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:17] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:17] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:17] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:17] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:17] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:17] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-91.88, -1.50, -55.34)" , ""
[00:00:17] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-91.81, -1.50, -57.02)" , ""
[00:00:17] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-92.66, -1.45, -55.13)" , ""
[00:00:17] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-92.24, -1.86, -54.14)" , ""
[00:00:17] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-92.73, -2.00, -54.03)" , ""
[00:00:19] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-78.50, 0.22, -23.77)" , ""
[00:00:19] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:19] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:19] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:19] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:19] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:19] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:19] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-80.77, -1.50, -56.02)" , ""
[00:00:19] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-79.71, -1.50, -56.55)" , ""
[00:00:19] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-82.08, -1.50, -56.95)" , ""
[00:00:19] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-82.30, -1.50, -57.13)" , ""
[00:00:19] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-83.11, -1.50, -57.84)" , ""
[00:00:21] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-69.15, 0.88, -25.96)" , ""
[00:00:21] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:21] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:21] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:21] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:21] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:21] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:21] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-70.79, -0.06, -50.88)" , ""
[00:00:21] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-71.05, -0.34, -51.69)" , ""
[00:00:21] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-71.66, -0.94, -53.28)" , ""
[00:00:21] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-72.01, -1.01, -52.85)" , ""
[00:00:21] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-73.47, -1.50, -52.99)" , ""
[00:00:21] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 2" , "4" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 1" , "2" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:21] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "0" , "NELS" , "EV_UsedAbility_2" , "Reaper" , ""
[00:00:23] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-64.18, 0.34, -33.72)" , ""
[00:00:23] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:23] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:23] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:23] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:23] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:23] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:23] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-59.29, 0.13, -46.95)" , ""
[00:00:23] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-61.31, 0.18, -48.89)" , ""
[00:00:23] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-62.50, 0.18, -48.86)" , ""
[00:00:23] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-63.16, 0.18, -47.11)" , ""
[00:00:23] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-64.30, 0.18, -47.79)" , ""
[00:00:25] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-29.13, -0.11, -26.59)" , ""
[00:00:25] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:25] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:25] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:25] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:25] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:25] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:25] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-52.41, -0.12, -36.36)" , ""
[00:00:25] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-54.84, -0.21, -38.12)" , ""
[00:00:25] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-55.03, -0.22, -40.63)" , ""
[00:00:25] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-55.60, -0.24, -41.97)" , ""
[00:00:25] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-56.30, -0.33, -40.33)" , ""
[00:00:26] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 2" , "4" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 1" , "2" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-21.92, 0.70, -27.64)" , ""
[00:00:27] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:27] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:27] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:27] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:27] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:27] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:27] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:27] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-41.51, -0.14, -29.50)" , ""
[00:00:27] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-44.91, -0.14, -31.47)" , ""
[00:00:27] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-45.95, -0.13, -34.03)" , ""
[00:00:27] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-48.13, -0.17, -32.70)" , ""
[00:00:27] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-48.08, -0.15, -31.27)" , ""
[00:00:29] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-19.23, 1.54, -19.28)" , ""
[00:00:29] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:29] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:29] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:29] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:29] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:29] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:29] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-30.20, -0.11, -25.63)" , ""
[00:00:29] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-33.10, -0.14, -25.72)" , ""
[00:00:29] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-37.57, -0.13, -26.60)" , ""
[00:00:29] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-38.48, -0.13, -26.81)" , ""
[00:00:29] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-37.03, -0.13, -25.96)" , ""
[00:00:29] , "Team 1" , "2" , "Lúcio" , "EV_UsedAbility_2" , "Lúcio" , ""
[00:00:31] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-17.20, 2.55, -13.53)" , ""
[00:00:31] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:31] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:31] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:31] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:31] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:31] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:31] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-27.62, -0.11, -27.30)" , ""
[00:00:31] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-18.95, -0.11, -28.53)" , ""
[00:00:31] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-36.88, -0.14, -24.67)" , ""
[00:00:31] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-26.33, -0.12, -24.64)" , ""
[00:00:31] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-26.56, -0.12, -28.24)" , ""
[00:00:31] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 2" , "4" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 1" , "2" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:31] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:33] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-23.76, 0.04, -23.62)" , ""
[00:00:33] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:33] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:33] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:33] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:33] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:33] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:33] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-27.62, -0.11, -27.30)" , ""
[00:00:33] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-10.32, 0.07, -35.78)" , ""
[00:00:33] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-36.88, -0.14, -24.67)" , ""
[00:00:33] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-15.78, 1.00, -19.20)" , ""
[00:00:33] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-9.38, -0.12, -28.62)" , ""
[00:00:35] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-12.43, 0.86, -25.31)" , ""
[00:00:35] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:35] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:35] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:35] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:35] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:35] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:35] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-27.62, -0.11, -27.30)" , ""
[00:00:35] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-10.32, 0.07, -35.78)" , ""
[00:00:35] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-36.88, -0.14, -24.67)" , ""
[00:00:35] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-14.01, 0.65, -15.66)" , ""
[00:00:35] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-4.95, -0.14, -28.39)" , ""
[00:00:36] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 2" , "4" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 1" , "2" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:36] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-8.63, -0.17, -25.51)" , ""
[00:00:37] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:37] , "Team 2" , "4" , "Bastion" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:37] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
