[00:00:14] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-67.31, 0.40, -49.84)" , ""
[00:00:14] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-64.98, 0.41, -49.02)" , ""
[00:00:14] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-68.13, 0.50, -50.78)" , ""
[00:00:14] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-66.26, 0.40, -49.08)" , ""
[00:00:14] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-67.48, 0.53, -50.89)" , ""
[00:00:15] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-25.49, -0.13, -24.86)" , ""
[00:00:15] , "Team 2" , "5" , "Torbjörn" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "4" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "0" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "5" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "4" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:16] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:16] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:16] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:16] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:16] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:16] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-58.79, 0.08, -46.48)" , ""
[00:00:16] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-56.69, -0.05, -45.62)" , ""
[00:00:16] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-59.87, 0.15, -47.14)" , ""
[00:00:16] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-57.48, -0.14, -44.67)" , ""
[00:00:16] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-58.98, 0.17, -47.79)" , ""
[00:00:17] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-22.81, 0.45, -35.01)" , ""
[00:00:17] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:18] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:18] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:18] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:18] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:18] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:18] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:18] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-55.54, -0.29, -37.48)" , ""
[00:00:18] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-52.74, -0.09, -37.11)" , ""
[00:00:18] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-55.82, -0.29, -39.17)" , ""
[00:00:18] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-53.31, -0.17, -36.19)" , ""
