[00:00:11] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:11] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:12] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:12] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:12] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:12] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:12] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:12] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:13] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:13] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:13] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:13] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:13] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:14] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:14] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:14] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:14] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:14] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:15] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:15] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:15] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:15] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:15] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:15] , "Team 2" , "4" , "Sombra" , "EV_UsedAbility_1" , "" , ""
