[00:00:31] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:31] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:31] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:32] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:32] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:33] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:33] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
