[00:00:32] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:32] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:33] , "Team 1" , "1" , "Lúcio" , "EV_UsedAbility_2" , "" , ""
[00:00:33] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:33] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:33] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:33] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:33] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:33] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:33] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:33] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(23.42, -5.59, -91.08)" , ""
[00:00:33] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(21.99, -5.29, -90.84)" , ""
[00:00:33] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(25.58, -7.29, -93.83)" , ""
[00:00:33] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(29.77, -10.29, -98.03)" , ""
